team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
7841,18,50,0,2390842,2,4,1207,11120,104.8,
7841,19,50,0,1683492,1,0,1257,11618,104.9,
7841,20,67,5,126094,1,0,1324,3707,105.0,
7841,21,69,1,1118996,1,0,1393,6080,105.1,
7841,22,108,9,9252,2,4,1497,960,105.1,
7841,23,53,17,355421,0,0,1550,321,105.6,
7841,24,64,12,2281623,1,0,1614,556,106.3,
7841,25,78,1,256267,2,0,1692,416,106.1,
7841,26,135,7,601334,2,4,1823,457,106.3,3xc
7841,27,69,10,129011,0,0,1892,208,106.3,freehit
7841,28,133,13,81174,0,0,2025,48,105.2,wildcard
7841,29,102,8,437415,1,0,2127,40,105.6,
7841,30,46,0,2049985,1,0,2173,77,105.6,
7841,31,57,5,1329308,1,0,2230,53,105.8,
7841,32,56,21,2920393,1,0,2286,113,105.9,
7841,33,110,2,18310,1,0,2396,20,105.7,
7841,34,68,10,1268187,2,4,2460,30,105.6,
7841,35,37,4,6382457,1,0,2497,86,105.8,
7841,36,172,0,24582,2,4,2665,7,105.8,bboost
7841,37,82,22,588478,0,0,2747,8,106.0,freehit
122675,1,89,7,1281019,0,0,89,1281016,100.0,
122675,2,60,2,2805594,0,0,149,1324938,100.2,
122675,3,48,6,5388885,1,0,197,1923077,100.1,
122675,4,63,9,2720080,2,0,260,1686932,99.6,
122675,5,68,0,1226707,0,0,328,1296642,99.6,
122675,6,55,5,1113908,2,0,383,1006711,100.0,
122675,7,46,0,1920798,1,0,429,904805,100.0,
122675,8,59,3,1701265,0,0,488,800051,99.8,wildcard
122675,9,130,11,4006,1,0,618,115731,100.3,
122675,10,54,2,1492701,1,0,672,90889,101.4,
122675,11,73,19,71115,1,0,745,44259,101.7,
122675,12,74,5,1132361,1,0,819,42665,102.4,
122675,13,56,2,1595890,1,0,875,42243,102.9,
122675,14,81,1,402053,1,0,956,20091,103.3,
122675,15,56,0,1046939,0,0,1012,13844,103.6,
122675,16,54,0,4854445,2,0,1066,30641,103.9,
122675,17,76,0,131457,1,0,1142,15416,104.2,
122675,18,82,0,35119,1,0,1224,4115,104.0,
122675,19,54,0,1176480,1,0,1278,3614,104.2,
122675,20,52,6,1139036,1,0,1330,2574,104.4,
122675,21,91,9,84212,2,4,1417,1584,104.2,
122675,22,90,4,186905,1,0,1507,512,104.8,
122675,23,31,8,5878282,1,0,1538,636,104.9,
122675,24,71,6,1418624,0,0,1609,726,105.4,
122675,25,82,3,129312,1,0,1691,432,105.2,
122675,26,163,18,18196,3,4,1850,83,104.5,3xc
122675,27,57,4,1047329,3,8,1899,129,104.2,
122675,28,105,25,710636,0,0,2004,145,102.9,wildcard
122675,29,134,0,1933,2,4,2134,21,103.4,bboost
122675,30,48,0,1810419,0,0,2182,46,103.5,
122675,31,58,3,1209682,2,0,2240,33,103.8,
122675,32,65,13,1590428,1,0,2305,37,103.9,
122675,33,78,6,1772277,0,0,2383,53,104.0,freehit
122675,34,81,8,323500,2,4,2460,30,104.1,
122675,35,45,9,3956174,0,0,2505,60,104.1,
122675,36,143,3,200596,2,0,2648,15,103.8,
122675,37,92,8,317877,0,0,2740,9,103.9,freehit
2308423,1,114,8,22021,0,0,114,22021,100.0,
2308423,2,97,4,11075,0,0,211,465,100.5,
2308423,3,67,4,1174579,1,0,278,929,101.2,
2308423,4,69,7,1517544,2,0,347,2053,101.4,
2308423,5,62,0,2452039,1,0,409,3263,101.4,
2308423,6,38,0,5467957,0,0,447,20022,102.0,
2308423,7,46,4,1972133,2,0,493,19179,101.6,
2308423,8,78,2,61193,0,0,571,2405,100.7,wildcard
2308423,9,119,1,26959,0,0,690,166,101.3,
2308423,10,63,11,476068,2,0,753,64,101.9,
2308423,11,60,17,730607,1,0,813,208,102.3,
2308423,12,94,3,33014,0,0,907,21,103.1,
2308423,13,62,2,759753,1,0,969,18,103.6,
2308423,14,63,2,3683120,1,0,1032,44,103.9,
2308423,15,55,2,1285208,1,0,1087,30,104.1,
2308423,16,59,2,3807899,2,0,1146,65,104.4,
2308423,17,56,0,2035904,0,0,1202,206,104.7,
2308423,18,58,0,1210172,3,4,1256,432,104.4,
2308423,19,55,1,1009509,0,0,1311,417,104.8,freehit
2308423,20,28,0,6836174,1,0,1339,1498,104.9,
2308423,21,93,1,54190,2,4,1428,829,104.1,
2308423,22,96,13,85178,1,0,1524,164,104.2,
2308423,23,40,7,2750821,2,4,1560,152,104.4,
2308423,24,85,7,333748,0,0,1645,71,105.0,
2308423,25,71,2,649370,1,0,1716,84,105.4,
2308423,26,130,14,835048,0,0,1846,112,103.6,wildcard
2308423,27,43,0,3695343,1,0,1889,243,103.9,
2308423,28,131,0,102132,2,4,2016,86,104.1,bboost
2308423,29,110,14,153213,2,4,2122,57,104.5,3xc
2308423,30,45,0,2093667,0,0,2167,106,104.7,
2308423,31,70,3,262699,3,4,2233,45,104.8,
2308423,32,64,0,1732242,2,4,2293,85,104.8,
2308423,33,92,0,393501,2,4,2381,57,104.6,
2308423,34,60,1,2498615,2,4,2437,105,104.3,
2308423,35,58,0,1399576,0,0,2495,95,104.5,
2308423,36,143,6,200596,2,0,2638,25,104.0,
2308423,37,101,17,164093,0,0,2739,10,104.3,freehit
