id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
16536,True,2021-12-15 20:00:00,83,Arsenal,ARS,81,West Ham,WHU,2,0,2.81482,0.338855,0.9307,0.0568,0.0125
16543,True,2021-12-16 19:45:00,80,Chelsea,CHE,72,Everton,EVE,1,1,3.20239,0.627528,0.9086,0.0747,0.0167
16544,True,2021-12-16 20:00:00,87,Liverpool,LIV,86,Newcastle United,NEW,3,1,2.93912,0.2064,0.9714,0.0264,0.0022
16548,True,2021-12-18 17:30:00,245,Leeds,LED,83,Arsenal,ARS,1,4,1.31408,3.69008,0.0393,0.0919,0.8688
16555,True,2021-12-19 14:00:00,229,Wolverhampton Wanderers,WOL,80,Chelsea,CHE,0,0,0.321371,0.793952,0.1252,0.4072,0.4676
16550,True,2021-12-19 14:15:00,86,Newcastle United,NEW,88,Manchester City,MCI,0,4,0.174208,3.64686,0.0004,0.0108,0.9888
16552,True,2021-12-19 16:30:00,82,Tottenham,TOT,87,Liverpool,LIV,2,2,2.79777,1.54944,0.6918,0.1901,0.1181
16560,True,2021-12-26 15:00:00,88,Manchester City,MCI,75,Leicester,LEI,6,3,3.82869,2.43425,0.7058,0.1626,0.1316
16562,True,2021-12-26 15:00:00,79,Norwich,NOR,83,Arsenal,ARS,0,5,0.154212,2.87539,0.0023,0.0273,0.9704
16563,True,2021-12-26 15:00:00,82,Tottenham,TOT,78,Crystal Palace,CRY,3,0,2.82148,0.178324,0.9536,0.0398,0.0066
16564,True,2021-12-26 15:00:00,81,West Ham,WHU,74,Southampton,SOU,2,3,1.53745,1.35643,0.4011,0.312,0.2869
16556,True,2021-12-26 17:30:00,71,Aston Villa,AVL,80,Chelsea,CHE,1,3,0.474029,2.8285,0.0139,0.0557,0.9304
16557,True,2021-12-26 20:00:00,220,Brighton,BRI,244,Brentford,BRE,2,0,0.943363,1.10342,0.2916,0.3151,0.3933
16561,True,2021-12-27 20:00:00,86,Newcastle United,NEW,89,Manchester United,MUN,1,1,1.26586,1.75587,0.232,0.2848,0.4832
16569,True,2021-12-28 15:00:00,90,Watford,WAT,81,West Ham,WHU,1,4,1.0143,2.84084,0.0603,0.121,0.8187
16570,True,2021-12-28 15:00:00,78,Crystal Palace,CRY,79,Norwich,NOR,3,0,2.38978,0.594134,0.8296,0.1241,0.0463
16575,True,2021-12-28 15:00:00,74,Southampton,SOU,82,Tottenham,TOT,1,1,0.353043,2.80917,0.0137,0.062,0.9243
16573,True,2021-12-28 20:00:00,75,Leicester,LEI,87,Liverpool,LIV,1,0,0.615892,2.72682,0.0217,0.0898,0.8885
16568,True,2021-12-29 19:30:00,80,Chelsea,CHE,220,Brighton,BRI,1,1,0.763458,0.78663,0.3109,0.3696,0.3195
16567,True,2021-12-29 20:15:00,244,Brentford,BRE,88,Manchester City,MCI,0,1,0.238829,1.01763,0.0672,0.2944,0.6384
16574,True,2021-12-30 20:15:00,89,Manchester United,MUN,92,Burnley,BUR,3,1,1.80776,0.871738,0.6178,0.2285,0.1537
