Understat_ID, FPL_ID, Understat_Name, FPL_Name
8127,-1,Amad Diallo Traore,
8150,168,Anthony Gordon,Anthony Gordon
8158,608,Scott Carson,Scott Carson
8180,581,Owen Otasowie,Owen Otasowie
8204,264,Neco Williams,Neco Williams
8222,402,Japhet Tanganga,Japhet Tanganga
8224,379,William Smallbone,William Smallbone
8227,467,Oskar Buur,Oskar Buur
8286,352,Jack Robinson,Jack Robinson
8323,98,Josh Brownhill,Josh Brownhill
8351,545,Ki-Jana Hoever,Ki-Jana Hoever
8366,167,João Virgínia,João Virgínia
8380,10,Pablo Marí,Pablo Marí
8482,99,Bailey Peacock-Farrell,Bailey Peacock-Farrell
8493,380,Jake Vokins,Jake Vokins
8511,643,Alexandre Jankewitz,Alexandre Jankewitz
8566,613,Joel Mumbongo,Joel Mumbongo
8704,186,Marek Rodák,Marek Rodák
8715,213,Illan Meslier,Illan Meslier
8716,197,Luke Ayling,Luke Ayling
8721,210,Jamie Shackleton,Jamie Shackleton
8723,-1,Ian Poveda-Ocampo,
8756,-1,Dara O&#039;Shea,
8757,413,Romaine Sawyers,Romaine Sawyers
8758,421,Kyle Edwards,Kyle Edwards
8777,-1,Vitinha,
8852,242,Konstantinos Tsimikas,Konstantinos Tsimikas
8864,496,Matthew Cash,Matthew Cash
8868,539,Liam Delap,Liam Delap
8905,418,Conor Townsend,Conor Townsend
8918,511,Max Lowe,Max Lowe
8919,214,Leif Davis,Leif Davis
8940,484,Antonee Robinson,Antonee Robinson
8941,554,Jacob Ramsey,Jacob Ramsey
8965,558,Vladimir Coufal,Vladimir Coufal
8966,555,Filip Krovinovic,Filip Krovinovic
9082,592,Lewis Richardson,Lewis Richardson
9086,594,Rhys Williams,Rhys Williams
9098,597,Robert Sánchez,Robert Sánchez
9099,574,Andi Zeqiri,Andi Zeqiri
9154,602,Elliot Anderson,Elliot Anderson
9209,610,Theo Corbeanu,Theo Corbeanu
9219,619,Niall Huggins,Niall Huggins
9222,618,Antwoine Hackford,Antwoine Hackford
9249,627,Percy Tau,Percy Tau
9250,630,Reda Khadra,Reda Khadra
9256,636,Caleb Watts,Caleb Watts
9257,635,Allan Tchaptchet,Allan Tchaptchet
9284,628,Jakub Moder,Jakub Moder
9307,656,Iliman Ndiaye,Iliman Ndiaye
9311,661,Thakgalo Leshabela,Thakgalo Leshabela
9332,666,Dane Scarlett,Dane Scarlett
9356,672,Carney Chukwuemeka,Carney Chukwuemeka
9359,673,Shola Shoretire,Shola Shoretire
9395,676,Sidnei Tavares,Sidnei Tavares
9406,680,Nathan Broadhead,Nathan Broadhead
9415,683,Jaden Philogene-Bidace,Jaden Philogene-Bidace
9423,685,Gaetano Berardi,Gaetano Berardi
9540,705,Femi Seriki,Femi Seriki
9552,708,Tyrese Francois,Tyrese Francois
9557,713,William Fish,William Fish
9558,712,Hannibal Mejbri,Hannibal Mejbri
-1,1,,Mesut Özil
-1,2,,Sokratis Papastathopoulos
-1,3,,David Luiz Moreira Marinho
-1,18,,Nicolas Pépé
-1,19,,Lucas Torreira
-1,22,,Edward Nketiah
-1,23,,Emile Smith Rowe
-1,25,,Matteo Guendouzi
