id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l,match_id,xCS_h,xCS_a
527,True,02/10/2016 15:00,89,Manchester United,MUN,85,Stoke,STO,1,1,2.80988,1.20043,0.7652,0.1639,0.0709,527,0.096450817,0.031468152
528,True,02/10/2016 17:15,75,Leicester,LEI,74,Southampton,SOU,0,0,0.446309,0.920963,0.1629,0.363,0.4741,528,0.36279376,0.628879645
529,True,02/10/2016 17:15,82,Tottenham,TOT,88,Manchester City,MCI,2,0,1.69975,0.909513,0.5923,0.2545,0.1532,529,0.370382957,0.08281617
530,True,02/10/2016 19:30,92,Burnley,BUR,83,Arsenal,ARS,0,1,0.608783,1.85433,0.0608,0.2093,0.7299,530,0.039059086,0.507026611
531,True,15/10/2016 15:30,80,Chelsea,CHE,75,Leicester,LEI,3,0,3.11573,0.182549,0.9675,0.0292,0.0033,531,0.828976549,0.013621
532,True,15/10/2016 18:00,83,Arsenal,ARS,84,Swansea,SWA,3,2,3.50519,1.74979,0.7551,0.1347,0.1102,532,0.131105473,0.008580658
533,True,15/10/2016 18:00,73,Bournemouth,BOU,91,Hull,HUL,6,1,2.92532,0.388589,0.924,0.0631,0.0129,533,0.670915216,0.019574804
534,True,15/10/2016 18:00,88,Manchester City,MCI,72,Everton,EVE,1,1,2.69208,0.144498,0.9671,0.0307,0.0022,534,0.861230191,0.015415495
535,True,15/10/2016 18:00,85,Stoke,STO,77,Sunderland,SUN,2,0,2.29543,0.587572,0.814,0.1357,0.0503,535,0.542408308,0.044988082
536,True,15/10/2016 18:00,76,West Bromwich Albion,WBA,82,Tottenham,TOT,1,1,1.30365,1.32318,0.3671,0.296,0.3369,536,0.241666449,0.148599406
537,True,15/10/2016 20:30,78,Crystal Palace,CRY,81,West Ham,WHU,0,1,1.94599,0.874219,0.6821,0.2098,0.1081,537,0.375511374,0.054079868
538,True,16/10/2016 16:30,93,Middlesbrough,MID,90,Watford,WAT,0,1,0.528576,0.0893749,0.3998,0.5508,0.0494,538,0.913236902,0.577484234
539,True,16/10/2016 19:00,74,Southampton,SOU,92,Burnley,BUR,3,1,4.21181,1.03126,0.9503,0.0391,0.0106,539,0.17988203,0.003378776
540,True,17/10/2016 23:00,87,Liverpool,LIV,89,Manchester United,MUN,0,0,0.270441,0.537762,0.1417,0.494,0.3643,540,0.529203758,0.757386552
541,True,22/10/2016 15:30,73,Bournemouth,BOU,82,Tottenham,TOT,0,0,0.523371,0.74529,0.2292,0.4073,0.3635,541,0.463033993,0.576571455
542,True,22/10/2016 18:00,81,West Ham,WHU,77,Sunderland,SUN,1,0,1.19585,0.808339,0.4506,0.3098,0.2396,542,0.408892638,0.286178108
543,True,22/10/2016 18:00,84,Swansea,SWA,90,Watford,WAT,0,0,1.33215,0.478578,0.6242,0.2687,0.1071,543,0.608781792,0.183500708
544,True,22/10/2016 18:00,75,Leicester,LEI,78,Crystal Palace,CRY,3,1,1.7041,1.656,0.3854,0.2495,0.3651,544,0.155093107,0.137065075
545,True,22/10/2016 18:00,91,Hull,HUL,85,Stoke,STO,0,2,0.701606,1.04273,0.2395,0.3282,0.4323,545,0.318065884,0.477533293
546,True,22/10/2016 18:00,92,Burnley,BUR,72,Everton,EVE,2,1,0.905579,0.752795,0.3938,0.3559,0.2503,546,0.459550544,0.261046069
547,True,22/10/2016 18:00,83,Arsenal,ARS,93,Middlesbrough,MID,0,0,0.711811,1.55581,0.1319,0.248,0.6201,547,0.127645439,0.467887963
548,True,22/10/2016 20:30,87,Liverpool,LIV,76,West Bromwich Albion,WBA,2,1,2.2952,0.685982,0.7593,0.1722,0.0685,548,0.42344394,0.072686654
549,True,23/10/2016 16:30,88,Manchester City,MCI,74,Southampton,SOU,1,1,1.15321,0.563752,0.5138,0.3215,0.1647,549,0.520311974,0.253979409
550,True,23/10/2016 19:00,80,Chelsea,CHE,89,Manchester United,MUN,4,0,2.25192,0.742805,0.7619,0.1587,0.0794,550,0.460901207,0.054055688
2677,True,29/10/2016 15:30,77,Sunderland,SUN,83,Arsenal,ARS,1,4,0.853434,2.48348,0.0371,0.1622,0.8007,2677,0.029688399,0.217096614
2678,True,29/10/2016 18:00,82,Tottenham,TOT,75,Leicester,LEI,1,1,1.69833,0.740987,0.6328,0.2694,0.0978,2678,0.369718648,0.090743885
2679,True,29/10/2016 18:00,90,Watford,WAT,91,Hull,HUL,1,0,1.14991,0.251367,0.6205,0.3095,0.07,2679,0.772608476,0.288792086
2680,True,29/10/2016 18:00,76,West Bromwich Albion,WBA,88,Manchester City,MCI,0,4,0.596605,2.48018,0.0479,0.1296,0.8225,2680,0.056264846,0.522641886
2681,True,29/10/2016 18:00,93,Middlesbrough,MID,73,Bournemouth,BOU,2,0,1.44317,1.54599,0.3335,0.2886,0.3779,2681,0.166833051,0.148130778
2682,True,29/10/2016 18:00,89,Manchester United,MUN,92,Burnley,BUR,0,0,2.72391,0.327957,0.8869,0.0891,0.024,2682,0.713514533,0.047526585
2683,True,29/10/2016 20:30,78,Crystal Palace,CRY,87,Liverpool,LIV,2,4,0.496044,2.26056,0.0523,0.1432,0.8045,2683,0.075737896,0.593216683
2684,True,30/10/2016 17:30,72,Everton,EVE,81,West Ham,WHU,2,0,2.0087,0.944816,0.6555,0.2113,0.1332,2684,0.364647576,0.082561361
2685,True,30/10/2016 20:00,74,Southampton,SOU,80,Chelsea,CHE,0,2,0.422364,1.14759,0.1242,0.3163,0.5595,2685,0.281696482,0.646977123
2686,True,01/11/2016 00:00,85,Stoke,STO,84,Swansea,SWA,3,1,2.16407,1.10058,0.6496,0.2187,0.1317,2686,0.255352946,0.05843796
2687,True,05/11/2016 19:00,73,Bournemouth,BOU,77,Sunderland,SUN,1,2,2.6457,1.13672,0.7337,0.1809,0.0854,2687,0.161980102,0.038722221
2688,True,05/11/2016 19:00,92,Burnley,BUR,78,Crystal Palace,CRY,3,2,2.25738,2.05902,0.4303,0.2666,0.3031,2688,0.054090751,0.005491384
2689,True,05/11/2016 19:00,88,Manchester City,MCI,93,Middlesbrough,MID,1,1,2.49606,0.208762,0.9142,0.0744,0.0114,2689,0.806392308,0.049726314
2690,True,05/11/2016 19:00,81,West Ham,WHU,85,Stoke,STO,1,1,0.404528,0.81046,0.1702,0.3995,0.4303,2690,0.414731815,0.6521939
2691,True,05/11/2016 21:30,80,Chelsea,CHE,72,Everton,EVE,5,0,1.94078,0.0131321,0.9017,0.0972,0.0011,2691,0.986867851,0.092946853
2692,True,06/11/2016 16:00,83,Arsenal,ARS,82,Tottenham,TOT,1,1,0.675745,1.19585,0.1684,0.3029,0.5287,2692,0.152317879,0.496834096
2693,True,06/11/2016 18:15,87,Liverpool,LIV,90,Watford,WAT,6,1,4.18366,0.771133,0.9542,0.0356,0.0102,2693,0.423017336,0.003838596
2694,True,06/11/2016 18:15,91,Hull,HUL,74,Southampton,SOU,2,1,0.561215,2.03046,0.0634,0.1676,0.769,2694,0.063043773,0.545685613
2695,True,06/11/2016 19:00,84,Swansea,SWA,89,Manchester United,MUN,1,3,0.51266,1.00006,0.1546,0.3476,0.4978,2695,0.294288701,0.554512182
2696,True,06/11/2016 20:30,75,Leicester,LEI,76,West Bromwich Albion,WBA,1,2,0.629678,0.78196,0.2576,0.404,0.3384,2696,0.407574893,0.45571264
2697,True,19/11/2016 16:30,89,Manchester United,MUN,83,Arsenal,ARS,1,1,0.511462,0.575813,0.2442,0.4354,0.3204,2697,0.479743814,0.590656287
2698,True,19/11/2016 19:00,74,Southampton,SOU,87,Liverpool,LIV,0,0,0.0942055,1.68802,0.0121,0.1558,0.8321,2698,0.140214918,0.908328715
2699,True,19/11/2016 19:00,85,Stoke,STO,73,Bournemouth,BOU,0,1,1.60429,1.24012,0.4562,0.2919,0.2519,2699,0.20335619,0.097705402
2700,True,19/11/2016 19:00,77,Sunderland,SUN,91,Hull,HUL,3,0,0.951511,1.25065,0.2677,0.2928,0.4395,2700,0.230271674,0.364431221
2701,True,19/11/2016 19:00,90,Watford,WAT,75,Leicester,LEI,2,1,0.7197,1.19686,0.17,0.3263,0.5037,2701,0.152514082,0.440037402
2702,True,19/11/2016 19:00,72,Everton,EVE,84,Swansea,SWA,1,1,1.54877,1.07471,0.4804,0.3179,0.2017,2702,0.172597105,0.140411318
2703,True,19/11/2016 19:00,78,Crystal Palace,CRY,88,Manchester City,MCI,1,2,0.431559,1.39421,0.0938,0.2497,0.6565,2703,0.189489589,0.63323562
2704,True,19/11/2016 21:30,82,Tottenham,TOT,81,West Ham,WHU,3,2,2.53396,1.76706,0.5794,0.2518,0.1688,2704,0.065152018,0.015565737
2705,True,20/11/2016 20:00,93,Middlesbrough,MID,80,Chelsea,CHE,0,1,0.55976,1.68738,0.0944,0.2191,0.6865,2705,0.133949145,0.559184791
2706,True,22/11/2016 00:00,76,West Bromwich Albion,WBA,92,Burnley,BUR,4,0,1.40512,0.571005,0.5949,0.2855,0.1196,2706,0.495184266,0.181675664
2707,True,26/11/2016 16:30,92,Burnley,BUR,88,Manchester City,MCI,1,2,0.475642,2.25698,0.0391,0.1232,0.8377,2707,0.04592425,0.609001798
2708,True,26/11/2016 19:00,91,Hull,HUL,76,West Bromwich Albion,WBA,1,1,0.424457,1.40213,0.0977,0.2533,0.649,2708,0.198583399,0.644931477
