Understat_ID,FPL_ID,Understat_Name,FPL_Name,season
1652,110,Matthew Lowton,Matthew Lowton,2021-22
1665,98,James Tarkowski,James Tarkowski,2021-22
1687,273,Harry Maguire,Harry Maguire,2021-22
1719,302,Javier Manquillo,Javier Manquillo,2021-22
1740,272,Paul Pogba,Paul Pogba,2021-22
1746,297,Jeff Hendrick,Jeff Hendrick,2021-22
1749,14,Rob Holding,Rob Holding,2021-22
1760,417,Arthur Masuaku,Arthur Masuaku,2021-22
2245,555,Raphael Varane,Raphaël Varane,2021-22
2379,256,João Cancelo,João Pedro Cavaco Cancelo,2021-22
3303,207,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,2021-22
3729,676,Hassane Kamara,Hassane Kamara,2021-22
4381,186,Mateusz Klich,Mateusz Klich,2021-22
4422,105,Ashley Barnes,Ashley Barnes,2021-22
5221,492,Leon Bailey,Leon Bailey,2021-22
5264,217,Caglar Söyüncü,Çaglar Söyüncü,2021-22
5553,421,Declan Rice,Declan Rice,2021-22
5560,285,Scott McTominay,Scott McTominay,2021-22
5568,585,Connor Roberts,Connor Roberts,2021-22
5609,70,Yves Bissouma,Yves Bissouma,2021-22
5612,42,Anwar El Ghazi,Anwar El Ghazi,2021-22
5619,471,Pierre Lees-Melou,Pierre Lees-Melou,2021-22
5656,17,Nicolas Pepe,Nicolas Pépé,2021-22
5962,375,Tanguy NDombele Alvaro,Tanguy Ndombele,2021-22
6030,594,Zanka,Mathias Jorgensen,2021-22
6047,56,Shane Duffy,Shane Duffy,2021-22
6048,59,Lewis Dunk,Lewis Dunk,2021-22
6062,306,Isaac Hayden,Isaac Hayden,2021-22
6063,304,Jacob Murphy,Jacob Murphy,2021-22
6157,209,Timothy Castagne,Timothy Castagne,2021-22
6274,412,Andriy Yarmolenko,Andriy Yarmolenko,2021-22
6276,582,Nikola Vlasic,Nikola Vlasic,2021-22
6382,441,Pedro Neto,Pedro Lomba Neto,2021-22
6424,425,Ben Johnson,Ben Johnson,2021-22
6456,140,Callum Hudson-Odoi,Callum Hudson-Odoi,2021-22
6523,449,Milot Rashica,Milot Rashica,2021-22
6665,244,Curtis Jones,Curtis Jones,2021-22
6674,470,Rayan Ait Nouri,Rayan Ait Nouri,2021-22
6859,36,Kortney Hause,Kortney Hause,2021-22
7069,85,Saman Ghoddos,Saman Ghoddos,2021-22
7078,309,Sean Longstaff,Sean Longstaff,2021-22
7134,584,Marc Cucurella,Marc Cucurella,2021-22
7218,494,Cristian Romero,Cristian Romero,2021-22
7332,439,Max Kilman,Max Kilman,2021-22
7382,58,Dan Burn,Dan Burn,2021-22
7420,308,Miguel Almirón,Miguel Almirón,2021-22
1245,539,Emerson,Emerson Palmieri dos Santos,2021-22
7470,581,Mathias Normann,Mathias Normann,2021-22
7690,319,Grant Hanley,Grant Hanley,2021-22
7693,318,Kenny McLean,Kenny McLean,2021-22
8021,329,Adam Idah,Adam Idah,2021-22
8089,16,Kieran Tierney,Kieran Tierney,2021-22
8476,544,Jarrad Branthwaite,Jarrad Branthwaite,2021-22
8706,160,Eberechi Eze,Eberechi Eze,2021-22
8717,198,Pascal Struijk,Pascal Struijk,2021-22
8718,188,Stuart Dallas,Stuart Dallas,2021-22
8780,62,Joël Veltman,Joël Veltman,2021-22
9453,538,Moisés Caicedo,Moisés Caicedo,2021-22
9512,491,Valentino Livramento,Tino Livramento,2021-22
9677,483,Kristoffer Ajer,Kristoffer Ajer,2021-22
9678,91,Ethan Pinnock,Ethan Pinnock,2021-22
9685,89,Mads Roerslev,Mads Roerslev Rasmussen,2021-22
9691,466,Nuno Tavares,Nuno Varela Tavares,2021-22
9739,505,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,2021-22
9833,331,Andrew Omobamidele,Andrew Omobamidele,2021-22
9914,499,Shandon Baptiste,Shandon Baptiste,2021-22
10291,675,Vitalii Mykolenko,Vitalii Mykolenko,2021-22
62,317,Lukas Rupp,Lukas Rupp,2021-22
111,340,Jannik Vestergaard,Jannik Vestergaard,2021-22
181,1,Bernd Leno,Bernd Leno,2021-22
200,133,Andreas Christensen,Andreas Christensen,2021-22
342,11,Sead Kolasinac,Sead Kolasinac,2021-22
461,292,Matt Ritchie,Matt Ritchie,2021-22
473,204,Danny Ward,Danny Ward,2021-22
486,53,Adam Lallana,Adam Lallana,2021-22
489,221,James Milner,James Milner,2021-22
496,12,Mohamed Elneny,Mohamed Naser El Sayed Elneny,2021-22
503,332,Theo Walcott,Theo Walcott,2021-22
509,480,Wayne Hennessey,Wayne Hennessey,2021-22
510,474,Joel Ward,Joel Ward,2021-22
532,150,Cheikhou Kouyaté,Cheikhou Kouyaté,2021-22
546,270,David de Gea,David de Gea,2021-22
554,459,Juan Mata,Juan Mata,2021-22
574,380,Troy Deeney,Troy Deeney,2021-22
581,379,Craig Cathcart,Craig Cathcart,2021-22
596,381,Tom Cleverley,Tom Cleverley,2021-22
603,493,Nathaniel Clyne,Nathaniel Clyne,2021-22
624,641,Willy Caballero,Willy Caballero,2021-22
631,52,Ashley Young,Ashley Young,2021-22
633,148,James McArthur,James McArthur,2021-22
635,334,Alex McCarthy,Alex McCarthy,2021-22
637,353,Hugo Lloris,Hugo Lloris,2021-22
638,249,Kyle Walker,Kyle Walker,2021-22
641,377,Danny Rose,Danny Rose,2021-22
643,361,Eric Dier,Eric Dier,2021-22
669,107,Ashley Westwood,Ashley Westwood,2021-22
688,132,Ruben Loftus-Cheek,Ruben Loftus-Cheek,2021-22
689,690,Kenedy,Robert Kenedy Nunes do Nascimento,2021-22
694,481,Asmir Begovic,Asmir Begović,2021-22
695,32,Bertrand Traoré,Bertrand Traoré,2021-22
697,271,Nemanja Matic,Nemanja Matic,2021-22
706,408,Lukasz Fabianski,Lukasz Fabianski,2021-22
708,465,Federico Fernández,Federico Fernández,2021-22
741,170,Jordan Pickford,Jordan Pickford,2021-22
743,300,Dwight Gayle,Dwight Gayle,2021-22
745,200,Kasper Schmeichel,Kasper Schmeichel,2021-22
759,208,Daniel Amartey,Daniel Amartey,2021-22
780,294,Karl Darlow,Karl Darlow,2021-22
785,452,John Ruddy,John Ruddy,2021-22
803,376,Ben Foster,Ben Foster,2021-22
831,333,Fraser Forster,Fraser Forster,2021-22
835,473,Ryan Bertrand,Ryan Bertrand,2021-22
